110149,76235,3,-1
20456,27337,4,-1
134117,2323,5,-1
40064,33020,4,-1
21301,74534,4,-1
92502,36652,4,-1
64035,291,4,-1
111475,25884,4,-1
136776,79475,3,-1
92501,44546,2,-1
123460,20643,4,-1
30266,204922,2,-1
53383,31665,2,-1
57745,13,3,-1
123455,41153,5,-1
11508,3089,3,-1
36808,15393,2,-1
4963,299104,4,-1
12833,174325,4,-1
127818,81219,4,-1
39065,6022,4,-1
23979,128129,3,-1
134123,11986,4,-1
112311,32030,4,-1
18145,109886,4,-1
17298,23082,2,-1
115826,136558,2,-1
10668,85821,4,-1
80993,346,4,-1
54243,9910,5,-1
127804,15822,4,-1
114980,25913,3,-1
80996,61401,4,-1
76017,87204,3,-1
11994,258126,3,-1
59939,786,4,-1
43556,les+mis%C3%A9rables+1998,5,-1
43551,24128,4,-1
40044,139406,3,-1
17265,19444,3,-1
126950,922,3,-1
60928,32868,3,-1
114966,1987,4,-1
52073,230846,4,-1
30243,14942,4,-1
133290,24266,4,-1
3659,22596,3,-1
72920,21967,3,-1
17274,h%C3%A4xan+1922,3,-1
135479,45967,3,-1
112773,655,4,-1
80526,78399,3,-1
17272,26405,4,-1
77362,28090,3,-1
125605,16664,3,-1
76035,149101,3,-1
29258,42914,3,-1
79548,9910,2,-1
54267,16150,4,-1
100322,34187,4,-1
4513,15570,4,-1
35925,5145,4,-1
132376,28053,4,-1
18577,65044,3,-1
70755,33870,5,-1
66254,9310,1,-1
89370,49026,5,-1
113696,11831,4,-1
29229,34193,3,-1
79570,14672,3,-1
43536,56152,3,-1
55123,32569,3,-1
57304,37463,4,-1
58630,55465,3,-1
81894,120467,5,-1
54279,9323,4,-1
99171,919,4,-1
104733,44864,3,-1
88049,113321,4,-1
103886,674,5,-1
104732,9652,4,-1
64072,11839,5,-1
15076,smoking+%2F+no+smoking+1993,4,-1
40493,242,4,-1
135898,675,4,-1
113206,198460,2,-1
18589,406,5,-1
113205,12621,4,-1
3691,49258,2,-1
92530,12+o%E2%80%99clock+boys+2013,4,-1
91683,24128,4,-1
87180,emma+1996,4,-1
67118,9611,4,-1
69778,moli%C3%A8re+1978,5,-1
126521,37079,3,-1
99169,79306,4,-1
127850,73881,3,-1
60959,16857,5,-1
116714,15725,5,-1
136749,76198,4,-1
60956,247691,4,-1
79561,36964,4,-1
80553,13891,3,-1
59976,67079,4,-1
126513,87060,4,-1
61808,20862,5,-1
124334,34944,5,-1
1023,62825,3,-1
31549,15362,5,-1
604,7346,3,-1
33725,22911,4,-1
113691,55687,4,-1
87189,120528,5,-1
126519,198001,4,-1
4550,72711,4,-1
40003,282009,3,-1
19883,46067,3,-1
111013,43039,3,-1
40000,57812,3,-1
27029,24123,3,-1
1042,25875,4,-1
40489,21202,4,-1
76082,young+t%C3%B6rless+1966,4,-1
43997,84178,2,-1
44847,62,5,-1
127838,162755,4,-1
3217,9619,4,-1
30686,51371,3,-1
31533,420743,4,-1
55143,10433,3,-1
3212,568,4,-1
8901,zat%C3%B4ichi+and+the+chest+of+gold+1964,4,-1
113200,9678,2,-1
19409,27625,3,-1
102533,91356,3,-1
70769,1891,4,-1
104716,96529,4,-1
102538,10930,4,-1
64096,48408,4,-1
68467,629,4,-1
38151,13996,2,-1
40472,10863,4,-1
38153,31165,4,-1
137616,41504,5,-1
71634,82549,3,-1
72962,180894,4,-1
103881,31094,4,-1
134585,130633,3,-1
135432,10427,4,-1
92556,231763,2,-1
113663,126376,3,-1
5411,38291,4,-1
1053,33688,4,-1
126980,1904,3,-1
78251,51675,4,-1
42655,41272,4,-1
20405,26431,4,-1
43503,14756,4,-1
111009,111459,2,-1
44836,7461,3,-1
20886,47554,2,-1
99185,14279,4,-1
126975,29049,3,-1
5401,11876,3,-1
89389,19382,3,-1
19415,8012,3,-1
24417,15451,4,-1
102121,251281,2,-1
113259,24453,5,-1
128751,261538,3,-1
106960,87415,4,-1
125244,115150,4,-1
3243,813,4,-1
24412,28519,4,-1
118944,11587,3,-1
72052,85876,4,-1
35553,52480,4,-1
111088,27864,5,-1
87553,215830,4,-1
53788,31131,4,-1
87554,531,5,-1
52457,14202,4,-1
83194,73936,3,-1
12434,4825,4,-1
56814,389854,4,-1
104792,69974,3,-1
26606,18809,5,-1
64441,3064,2,-1
101284,49343,3,-1
66623,7326,4,-1
43165,5227,2,-1
64445,1269,3,-1
1077,230846,3,-1
19074,54580,5,-1
126563,18968,3,-1
124384,31122,4,-1
131937,51985,3,-1
118939,96713,3,-1
27933,93519,3,-1
90708,117678,4,-1
50286,46845,3,-1
86217,10938,5,-1
3246,59917,3,-1
15953,230836,3,-1
79923,22774,4,-1
77748,3014,3,-1
104303,84972,4,-1
6758,2690,2,-1
107815,workers+leaving+the+lumi%C3%A8re+factory+1895,4,-1
79929,56771,3,-1
13777,12713,4,-1
48846,53410,3,-1
65780,215993,4,-1
22218,169310,2,-1
63120,9964,3,-1
47514,89823,3,-1
116744,14308,5,-1
99554,35022,3,-1
118927,2694,3,-1
96042,29150,3,-1
72073,93114,4,-1
124370,10557,4,-1
34205,926,4,-1
78620,21596,4,-1
114572,86555,3,-1
116751,8545,4,-1
76443,42989,4,-1
87579,108923,4,-1
88427,59,4,-1
112397,901,5,-1
113242,121703,3,-1
113240,13199,3,-1
10237,14812,4,-1
36867,1392,3,-1
92916,2118,4,-1
113224,50183,4,-1
62289,5595,4,-1
65797,70670,3,-1
114554,5155,3,-1
99543,64973,3,-1
115887,63260,3,-1
131954,45803,3,-1
98698,9297,3,-1
47509,58151,3,-1
15939,158959,3,-1
55992,167938,3,-1
35525,58435,4,-1
52481,12186,3,-1
76431,111794,3,-1
124355,76237,4,-1
54663,3059,4,-1
8957,31362,3,-1
101256,73500,3,-1
32018,37557,4,-1
9805,100270,4,-1
102109,12179,3,-1
13755,18112,4,-1
65321,70498,5,-1
105676,20874,5,-1
128797,85556,3,-1
10691,53651,3,-1
63148,29150,3,-1
67988,37438,5,-1
72096,193756,5,-1
21349,11384,3,-1
51160,95177,3,-1
81804,13203,2,-1
23525,38714,3,-1
97391,51452,3,-1
35999,202973,4,-1
52493,2266,3,-1
54676,60306,3,-1
115488,4203,2,-1
104337,245909,5,-1
45790,114790,3,-1
102157,42725,4,-1
92939,308571,4,-1
6307,152790,3,-1
15901,203833,4,-1
64470,15696,4,-1
84087,1280,3,-1
57706,119450,2,-1
23537,43176,4,-1
66663,14922,3,-1
48811,2043,3,-1
135015,19433,4,-1
47963,kuningasj%C3%A4tk%C3%A4+1998,4,-1
134168,98851,4,-1
9830,4964,4,-1
42276,44103,4,-1
30292,10598,2,-1
24867,51357,4,-1
30298,80389,4,-1
77786,259018,3,-1
77303,40797,4,-1
35982,97367,4,-1
55532,103590,4,-1
51178,166085,4,-1
129625,201703,4,-1
86258,252143,3,-1
8977,77514,5,-1
120810,29515,3,-1
35989,80597,3,-1
18159,11015,3,-1
137209,36226,2,-1
19484,42689,4,-1
23509,19809,3,-1
6335,3171,3,-1
103475,125164,4,-1
117635,lumi%C3%A8re+and+company+1995,4,-1
126113,281468,3,-1
114126,37567,4,-1
114127,10482,3,-1
69709,22004,3,-1
29287,256396,3,-1
57723,64519,3,-1
33795,51352,5,-1
78665,59058,5,-1
127437,189364,4,-1
78668,81167,2,-1
106978,239573,3,-1
53369,97995,4,-1
113286,73624,5,-1
120806,68718,3,-1
106979,72766,3,-1
65354,24164,4,-1
136368,14710,3,-1
21331,15718,4,-1
106510,53574,3,-1
135038,291,5,-1
18167,158828,3,-1
116776,27983,5,-1
81817,44691,4,-1
80966,13938,3,-1
81812,53457,5,-1
21337,50775,4,-1
75150,11902,3,-1
127428,11830,5,-1
116302,14521,4,-1
103478,118446,3,-1
5489,289153,3,-1
56409,17382,3,-1
87120,655,4,-1
73302,105371,4,-1
138041,172631,2,-1
82267,38687,3,-1
80082,278,4,-1
105589,14710,4,-1
14580,13558,4,-1
94236,38846,4,-1
7211,125742,4,-1
4187,1643,4,-1
131412,2152,4,-1
4188,54690,4,-1
8544,26158,4,-1
92050,248774,3,-1
23057,23683,3,-1
116237,2280,4,-1
95563,12112,5,-1
58167,80122,3,-1
125197,89708,4,-1
86608,52758,4,-1
4181,108012,3,-1
125195,22616,3,-1
26560,13490,2,-1
116247,72123,3,-1
25233,1857,4,-1
119754,8008,3,-1
83588,25848,3,-1
84430,45336,4,-1
47485,125099,4,-1
18946,74126,4,-1
16766,85963,4,-1
60000,47870,5,-1
48332,93934,3,-1
80070,50392,3,-1
51536,253254,4,-1
128692,129,4,-1
75507,40599,3,-1
130573,3085,4,-1
133601,60141,4,-1
28719,102807,3,-1
37672,47578,4,-1
15881,33095,4,-1
46145,52560,3,-1
8555,2926,4,-1
58176,32866,4,-1
70297,67884,5,-1
34163,25376,5,-1
125187,13377,5,-1
95591,28874,4,-1
25205,15705,4,-1
126031,9050,4,-1
5040,401,3,-1
25683,30416,4,-1
52871,33015,4,-1
128689,124167,4,-1
102058,261820,4,-1
37677,87894,2,-1
106414,321594,4,-1
36348,2011,4,-1
52878,n%C3%B6madak+tx+2006,4,-1
106419,22556,4,-1
15405,38199,4,-1
15888,11707,3,-1
76829,149961,4,-1
95108,3064,3,-1
55908,185567,3,-1
105581,58435,3,-1
62681,58764,3,-1
72489,388046,3,-1
131435,24646,5,-1
95103,178469,3,-1
6388,35217,4,-1
107766,26336,4,-1
73336,47018,4,-1
99943,64534,3,-1
27875,202495,5,-1
84458,4966,4,-1
127347,3520,4,-1
75984,64481,4,-1
75987,43471,4,-1
55915,48504,4,-1
49639,75595,3,-1
108666,56156,4,-1
75528,31243,3,-1
62693,25784,3,-1
109994,10115,3,-1
97317,48161,3,-1
74675,28067,2,-1
97312,26748,4,-1
5060,86303,3,-1
59040,41967,4,-1
62219,1574,4,-1
86668,76198,3,-1
52411,4192,3,-1
23483,62206,4,-1
83154,20529,4,-1
